6,1,5,11
6,1,45,51
6,1,87,91
6,36,5,11
6,36,45,51
6,36,87,91
6,37,5,11
6,37,45,51
6,37,87,91
11,1,9,20
11,1,29,40
11,1,63,75
11,2,9,20
11,2,29,40
11,2,63,75
11,3,9,20
11,3,29,40
11,3,63,75
11,5,9,20
11,5,29,40
11,5,63,75
11,8,9,20
11,8,29,40
11,8,63,75
11,9,9,20
11,9,29,40
11,9,63,75
5,1,10,18
5,1,50,58
5,1,93,100
5,2,10,18
5,2,50,58
5,2,93,100
9,1,23,31
9,1,57,60
9,1,64,70
14,1,29,37
14,1,69,79
14,1,84,90
14,2,29,37
14,2,69,79
14,2,84,90
14,3,29,37
14,3,69,79
14,3,84,90
21,10,13,17
21,10,51,53
25,16,7,11
25,16,49,51
25,16,85,89
7,11,12,20
7,11,52,55
7,12,12,20
7,12,52,55
7,13,12,20
7,13,52,55
7,14,12,20
7,14,52,55
7,15,12,20
7,15,52,55
7,16,12,20
7,16,52,55
7,17,12,20
7,17,52,55
7,18,12,20
7,18,52,55
7,19,12,20
7,19,52,55
7,20,12,20
7,20,52,55
26,22,3,15
26,22,29,40
26,22,51,60
26,22,69,71
26,22,73,80
26,25,3,15
26,25,29,40
26,25,51,60
26,25,69,71
26,25,73,80
26,28,3,15
26,28,29,40
26,28,51,60
26,28,69,71
26,28,73,80
26,33,3,15
26,33,29,40
26,33,51,60
26,33,69,71
26,33,73,80
26,34,3,15
26,34,29,40
26,34,51,60
26,34,69,71
26,34,73,80
26,35,3,15
26,35,29,40
26,35,51,60
26,35,69,71
26,35,73,80
21,29,13,17
21,29,51,53
21,30,13,17
21,30,51,53
21,32,13,17
21,32,51,53
22,29,25,29
22,29,65,69
22,29,93,100
22,30,25,29
22,30,65,69
22,30,93,100
22,31,25,29
22,31,65,69
22,31,93,100
22,32,25,29
22,32,65,69
22,32,93,100
2,29,27,33
2,29,65,71
2,30,27,33
2,30,65,71
2,31,27,33
2,31,65,71
2,32,27,33
2,32,65,71
12,37,7,15
12,37,93,100
6,38,5,11
6,38,45,51
6,38,87,91
6,39,5,11
6,39,45,51
6,39,87,91
26,42,3,15
26,42,29,40
26,42,51,60
26,42,69,71
26,42,73,80
26,43,3,15
26,43,29,40
26,43,51,60
26,43,69,71
26,43,73,80
26,44,3,15
26,44,29,40
26,44,51,60
26,44,69,71
26,44,73,80
26,45,3,15
26,45,29,40
26,45,51,60
26,45,69,71
26,45,73,80
26,46,3,15
26,46,29,40
26,46,51,60
26,46,69,71
26,46,73,80
26,47,3,15
26,47,29,40
26,47,51,60
26,47,69,71
26,47,73,80
26,48,3,15
26,48,29,40
26,48,51,60
26,48,69,71
26,48,73,80
16,43,14,20
16,43,23,26
16,43,54,60
16,43,83,89
16,43,93,100
16,44,14,20
16,44,23,26
16,44,54,60
16,44,83,89
16,44,93,100
16,45,14,20
16,45,23,26
16,45,54,60
16,45,83,89
16,45,93,100
1,44,25,33
1,44,63,71
1,45,25,33
1,45,63,71
1,46,25,33
1,46,63,71
1,47,25,33
1,47,63,71
1,48,25,33
1,48,63,71
18,42,31,40
18,42,71,80
18,42,87,92
18,42,93,100
18,44,31,40
18,44,71,80
18,44,87,92
18,44,93,100
18,45,31,40
18,45,71,80
18,45,87,92
18,45,93,100
5,52,10,18
5,52,50,58
5,52,93,100
8,51,31,39
8,51,71,80
8,51,85,92
3,58,7,15
3,58,55,60
3,58,93,100
3,59,7,15
3,59,55,60
3,59,93,100
3,64,7,15
3,64,55,60
3,64,93,100
3,67,7,15
3,67,55,60
3,67,93,100
7,54,14,20
7,54,50,53
7,58,14,20
7,58,50,53
7,59,14,20
7,59,50,53
7,64,14,20
7,64,50,53
8,58,31,39
8,58,71,80
8,58,85,92
8,59,31,39
8,59,71,80
8,59,85,92
8,60,31,39
8,60,71,80
8,60,85,92
8,64,31,39
8,64,71,80
8,64,85,92
8,65,31,39
8,65,71,80
8,65,85,92
8,66,31,39
8,66,71,80
8,66,85,92
5,53,10,18
5,53,50,58
5,53,93,100
13,69,3,7
13,69,43,47
13,70,3,7
13,70,43,47
6,69,5,11
6,69,45,51
6,69,87,91
21,69,13,17
21,69,51,53
9,69,23,31
9,69,57,60
9,69,64,70
20,68,61,65
20,68,81,85
20,68,93,100
25,109,7,11
25,109,49,51
25,109,85,89
6,110,5,11
6,110,45,51
6,110,87,91
25,113,7,11
25,113,49,51
25,113,85,89
9,113,23,31
9,113,57,60
9,113,64,70
24,111,45,51
24,111,63,67
24,111,87,91
24,113,45,51
24,113,63,67
24,113,87,91
24,114,45,51
24,114,63,67
24,114,87,91
